English Word,Translation,Part-of-Speech
miniature,miniatura {f},{n} /mɪnətʃɚ/ (a model of reduced scale)
minibus,microbús {m},{n} (a small bus)
minigolf,,{n} (miniature golf)
minimal,minimalista; minimalista; mínimo,"{adj} ((art) characterised by the use of simple form or structures); {adj} ((music) characterised by the repetition and gradual alteration of short phrases); {adj} (The smallest possible amount, quantity, or degree)"
minimalism,minimalismo {m}; minimalismo {m},{n} (style of art); {n} (style of music)
minimalist,minimalista,{adj} (believing in or seeking a minimal state)
minimal pair,par mínimo {m},{n} (Pair of words)
minimization,minimización {f},{n} (act of lowering something to its smallest value or extent)
minimize,minimizar,{v} (To make small as possible)
minimum,mínimo,{n} (lowest limit)
mining,minería {f},{n} (activity of removing solid valuables from the earth)
minion,"acólito, sicario, sicofante; adlátere, lacayo, achichincle",{n} (A sycophantic follower); {n} /ˈmɪnjən/ (loyal servant of another more powerful being)
miniskirt,minifalda {f},{n} /ˈmɪnɪskəːt/ (skirt)
minister,ministro,{n} /ˈmɪnɪstə/ (person who is trained to perform religious ceremonies at a Protestant church)
ministerial,ministerial,{adj} /ˌmɪn.əˈstiɹ.i.əl/
ministry,ministerio {m}; ,{n} (government department); {n} (ministration)
minium,tetróxido de plomo,{n} (red lead)
miniver,armiño,{n} /ˈmɪnɪvɚ/ (a light gray or white fur)
mink,; visón {m},{n} (mink coat); {n} /mɪŋk/ (mammal)
minke whale,"ballena enana {f}, ballenoto {m}, rorqual aliblanco {m}",{n} (Balaenoptera acutorostrata or Balaenoptera bonaerensis)
Min Nan,,{prop} (Hokkien)
Minnesota,Minnesota {f},{prop} /ˌmɪnɨˈsoʊtə/ (a state of the United States of America)
minnow,"pececillo {m}; carpa {f}, carpita {f}",{n} (any small fish); {n} /ˈmɪnəʊ/ (a small freshwater fish)
minor,"menor {m}, menor de edad {m}",{n} /maɪnə/ (someone below the legal age)
Minorca,Menorca,{prop} (An island of Spain)
Minorcan,"menorquín {m}, menorquina {f}; menorquín {m}, menorquina {f}",{adj} (of or relating to Minorca or its inhabitants); {n} (an inhabitant of Minorca)
minority,minoría {f},{n} /maɪˈnɔ.ɹə.di/ (subgroup that does not form a numerical majority)
minority cabinet,,{n} (minority government)
minotaur,minotauro {m},{n} /ˈmɪnəˌtɔ(ɹ)/ (monster with the head of a bull and the body of a man)
Minsk,Minsk {m},{prop} (capital of Belarus)
minstrel,juglar {m},{n} (medieval traveling entertainer)
minstrelsy,juglaría {f},{n}
mint,"menta {f}; menta {f}; dineral {m}, fortuna {f}; ceca {f}; hierbabuena {f}, menta {f}; acuñar",{adj}; {n} (herb flavouring); {n} (large amount of money); {n} /mɪnt/ (money-producing building or institution); {n} (plant); {v} (to reproduce coins)
minuend,minuendo {m},{n} (number from which another is subtracted)
minuet,"minueto {m}, minué {m}; minueto {m}, minué {m}",{n} (dance); {n} (music accompanying the dance)
minus,menos; menos,{conj} /ˈmaɪnəs/ (mathematics: less); {n}
minuscule,minúsculo; minúscula {f}; minúscula {f},"{adj} (very small, tiny); {adj} (written in minuscules); {n} (lower-case letter)"
minus sign,signo menos {m},{n} (symbol used to denote the operation of subtraction and to indicate that a number is negative)
minute,"menudo; minuto {m}; minuto {m}; acta {f}; minuto {m}, momento {m}; minuto {m}; minutar",{adj} /maɪˈn(j)ut/ (very small); {n} (minute of use of telephone network); {n} /ˈmɪnɪt/ (unit of time); {n} (record of meeting); {n} (short but unspecified period of time); {n} (unit of angular measure); {v} (to write)
minute hand,minutero {m},{n} (clock hand)
minutely,minuciosamente,{adv} (with attention to tiny details)
miosis,miosis {f},{n} (contraction of the pupil of the eye)
Mira,Mira,{prop} (star)
miracle,milagro {m},{n} /ˈmɪɹəkl̩/ (wonderful event attributed to supernatural powers)
miraculous,milagroso,{adj} (by supernatural or uncommon causes)
miraculously,milagrosamente,{adv} (in a miraculous manner)
mirage,espejismo {m},{n} /mɪˈrɑːʒ/ (an optical phenomenon)
Miranda,Miranda,{prop} (moon of Uranus)
Mirandese,"mirandés {m}, idioma mirandés {m}",{prop} (Romance language)
Mirandize,"mirandizar, explicar los derechos",{v}
mire,"barrizal {m}, lodazal {m}, fangal {m}, barro {m}, fango {m}, cieno {m}",{n} /ˈmaɪɚ/ (deep mud)
Miriam,"Miriam, María; María, Miriam",{prop} (female given name); {prop} (sister of Moses and Aaron)
mirror,espejo {m},{n} /ˈmiɹ.ɚ/ (smooth reflecting surface)
mirror ball,,{n} (disco ball)
mirrour,,{n} /ˈmɪɹɚ/ (mirror)
mirth,"felicidad {f}, alegría {f}",{n} (merriment)
misandry,"androfobia {f}, misandria {f}",{n} /mɪˈsændɹi/ (hatred of or prejudice against men)
misanthrope,misántropo {m},{n} (one who hates all mankind)
misanthropic,misantrópico,{adj} /ˌmɪs.ənˈθɹɑp.ɪk/ (hating or disliking mankind)
misanthropist,,{n} (misanthrope)
misanthropy,misantropía {f},{n} (hatred or dislike of people or mankind)
misappropriate,,{v} /ˌmɪs.əˈproʊ.pri.eɪt/ (to embezzle)
miscegenation,mestizaje {m},{n} /mɪˌsɛdʒ.əˈneɪ.ʃən/ (the mixing or blending of race)
miscellaneous,"varios; varios {p}, misceláneo",{adj} (having diverse characteristics); {adj} /ˌmɪsəˈleɪnɪəs/ (consisting of a variety of ingredients or parts)
mischief,"travesura {f}, diablura {f}, daño {m}, maldad {f}, picardía {f}; revoltoso {m}, travieso {m}; travesura; travesura {f}, diablura {f}",{n} /ˈmɪstʃɨf/ (harm or evil caused by an agent or brought about by a particular cause); {n} (one who causes mischief); {n}; {n} (vexatious or annoying conduct)
mischievous,"pícaro, travieso {m}; travieso",{adj} /ˈmɪst͡ʃɪvəs/ (causing mischief); {adj} (naughty)
mischievously,malvadamente,{adv} (in a mischievous manner)
miscomprehend,,{v} (misunderstand)
misconduct,; ; ,{n} /mɪsˈkɒndʌkt/ (bad behavior); {v} (misbehave); {v} /mɪskənˈdʌkt/ (mismanage)
misdemeanor,contravención {f},{n} (small crime)
miser,avaro {m},{n} /ˈmaɪzə(r)/ (skinflint or scrooge)
miserable,miserable,{adj} /ˈmɪzrəˌbəl/ (in a state of misery)
miserly,"mezquino, tacaño",{adj} /ˈmaɪ.zə(ɹ).li/ (like a miser; very covetous; stingy)
misery,miseria {f},{n} (great unhappiness)
misery loves company,la miseria es mas facil de conllevar cuando uno no es el unico,{proverb} (misery is easier when one is not the only one)
misfit,"desfasado, inadaptado {m}",{n} /ˈmɪsfɪt/ (a badly adjusted person)
misfortune,"desgracia {f}, infortunio {m}; infortunio {m}",{n} (an undesirable event such as an accident); {n} (bad luck)
mishandle,llevar mal,{v} (handle incorrectly)
mishap,percance {m},"{n} /'mɪs.hæp/ (An accident, mistake, or problem)"
mishegoss,locura,"{n} (madness, mishegoss)"
mislead,engañar; propiciar equivocarse,{v}; {v} /ˈmɪsliːd/ (lead in a false direction)
misleader,corruptor {m},{n} (one who leads into error)
misleading,"engañoso, ilusorio",{adj} (tending to mislead)
misogynist,misógino {m},{n} /mɪˈsɑdʒ.ən.ɪst/ (hater of women)
misogyny,misoginia {f},{n} /mɪˈsɑːdʒ.ɪ.ni/ (hatred or contempt for women)
misopedia,misopedia {f},{n} (Hatred of children)
miss,"; señorita {f}; errar; perder; faltar; echar de menos, extrañar [Latin America]",{n} (Miss); {n} (unmarried woman); {v} /mɪs/ (to fail to hit); {v} (to be late for something); {v} (to fail to attend); {v} (to feel the absence of someone or something)
Miss,señorita {f} (Srta),{n} (title)
missile,"proyectil {m}; proyectil {m}, misil {m}","{n} /ˈmɪsəl/ (object to be launched); {n} (self-propelled, guidable projectile)"
missing,"faltante, ausente, desaparecido","{adj} (missing, lacking, lost)"
mission,misión {f}; misión {f},{n} /ˈmɪʃən/ (set of tasks that fulfills a purpose); {n} (religious evangelism)
missionary,"misionero {m}, misionera {f}, misionario",{n} (person traveling to spread a religion)
Mississippi,"Misisipí, Misisipi; Misisipí, Misisipi",{n} /ˌmɪsəˈsɪpi/ (state); {n} (river)
missive,misiva {f},{n} /ˈmɪsɪv/ (a written message)
Missouri,"Misuri, Misurí",{prop} /mɨˈzɝi/ (US state)
misspell,deletrear mal,{v} /mɪsˈspɛl/ (to spell incorrectly)
misspelling,"falta de ortografía {f}, deletreo erróneo {m}",{n} (misspelt word)
misstep,paso en falso {m},{n} (step that is wrong)
mist,"niebla {f}, neblina {f}",{n} /mɪst/ (Water or other liquid finely suspended in air)
mistake,"error {m}, equivocación {f}; confundir; entender mal",{n} /mɪsˈteɪk/ (An error ); {v}; {v} (To take one thing for another)
mistakenly,"equivocadamente, erróneamente, erradamente",{adv} (By)
mister,señor {m},{n} /ˈmɪstɚ]/ (title of adult male)
mistletoe,muérdago {m},{n} /ˈmɪsəltəʊ/ (either species of such evergreen plant)
Mistralian,mistraliano,{adj} (of or relating to the Mistralian norm)
mistreat,maltratar,{v} (treat someone or something roughly or badly)
mistress,"maestra {f}; querida {f}, amante",{n} /ˈmɪstrɪs/ (female teacher); {n} (woman in extramarital relationship)
mistrust,"desconfianza, recelo",{n} (lack of trust)
misty,borroso; con neblina,{adj}; {adj} (with mist; foggy)
misunderstand,entender mal,"{v} /mɪsʌn.də(r)ˈstænd/ (to understand incorrectly, while thinking to have understood correctly)"
mite,ácaro {m},{n} /maɪt/ (an arachnid)
mitigate,mitigar,"{v} /ˈmɪt.ɪ.ɡeɪt/ (to reduce, lessen, or decrease)"
mitochondrial,mitocondrial,"{adj} (of, or relating to mitochondria)"
mitochondrion,mitocondria {f},{n} (respiratory organelle)
mitosis,mitosis {f},{n} (division of a cell nucleus)
mitosome,mitosoma {f},{n} /ˈmaɪtəˌsoʊm/ (organelle found within eukaryotes)
mitotic,mitótico,{adj} (of or pertaining to mitosis)
mitre,mitra {f},"{n} (a covering for the head, worn on solemn occasions by church dignitaries)"
mitt,,{n} /mɪt/ (mitten)
mitten,manopla {f},{n} (glove with a separate sheath for the thumb only)
mix,mezcla {f}; mezcla {f}; mezclar,{n} (result of combining items normally kept separate); {n} (result of mixing two or more substances); {v} /ˈmɪks/ (stir two or more substances together)
mixed,"mixto; mixto, mestizo",{adj} (including both males and females); {adj} (Stemming from two or more races or breeds)
mixed marriage,matrimonio mixto {m},"{n} (marriage between people of different races, cultures, religions, etc)"
mixed martial arts,artes marciales mixtas {f} {p},{n} (Style of combat sport)
mixed reaction,"reacciones diversas {f} {p}, recepción diversa {f}",{n} (state of diverse reception)
mixer,batidora {f},{n} (blender)
mixture,mezcla; mezcla {f},{n}; {n} /ˈmɪkstʃɝ/ (something produced by mixing)
Miyako,miyako {m},{prop} (Language)
mizzenmast,palo de mesana {m},{n} /ˈmɪz.ənˌmæst/ (nautical: aftmost mast)
Málaga,Málaga {f},{prop} /ˈmæləɡə/ (port and city in Andalusia)
mmole,,{n} (millimole)
ménage à trois,trío {m},{n} /ˌmɛɪnɑːʒ ɑː ˈt(ɹ)wɑː/
mnemonic,mnemotécnico,{adj} /nəˈmɑːnɪk/ (related to mnemonics)
mnemonics,mnemotécnica {f},{n} /nəˈmɑn.ɪks/ (study of techniques for improving memory)
Mnemosyne,"Mnemosina {f}, Mnemósine {f}",{prop} (Titaness)
moai,moái {m},{n} /ˈmoʊ.aɪ/ (stone statue on Easter Island)
moan,"gemido {m}, quejido {m}; quejar; gemir",{n} /moʊn/ (a low cry of pain); {v} (to complain); {v} (to make a moan or similar sound)
moat,"fosa {f}, foso {m}",{n} /moʊt/ (defensive ditch)
mob,"rebaño {m}, ganado {m}; mafia {f}; turba; rodear, amontonarse alrededor de",{n} (collective noun); {n} (mafia); {n} /mɑb/ (unruly group of people); {v} (crowd around a person)
mobile,móvil; móvil {m},{adj} /ˈmoʊbəl/ (capable of being moved); {n} (mobile phone)
mobile phone,"teléfono móvil, móvil {m}, [Latin America] celular {m}, [Latin America] teléfono celular {m}",{n} (a portable telephone)
mobilise,movilizar; movilizarse; movilizar,{v} (to assemble troops and their equipment in a coordinated fashion so as to be ready for war); {v} (to become made ready for war); {v} (to make something mobile)
mobilize,,{v} (mobilise)
moccasin,mocasín {m},{n} /ˈmɑ.kə.ˌsɪn/ (low-heeled shoe)
mocha,moca {m},{n} /ˈmoʊkə/ (coffee)
mock,"imitación, burla; imitar, burlar; imitar, remedar; burlar",{n}; {v}; {v} (to mimic); {v} (to taunt)
mocker,,{n} (mocking bird)
mockingbird,"(Mimus spp.) cenzontle {m}, sinsonte {m}; (Mimus gilvus|Tropical mockingbird) paraulata {f} [Venezuelan standard usage], chuchube {m} [Northwestern Venezuela, specifically State of Falcon], chulinga {f} [Northeastern Venezuela]; (Melanotis spp.) mulato {m}",{n} (songbird of the family Mimidae)
modal,modal,{adj}
modal verb,verbo modal {m},{n} (an auxiliary verb)
mode,moda {f},{n} /moʊd/ (style or fashion)
model,"ejemplar {m} {f}; ejemplar {m} {f}; modelo {m}; modelo {m}, maqueta {f}; modelo {m}, ejemplo {m}; modelo {m}; modelo {m}; modelo {m}; modelar; modelar, moldear; modelar, mostrar; modelar, armar; mostrar, graficar, proyectar",{adj}; {adj} (worthy of being a model); {n} /ˈmɑdl̩/ (person); {n} (miniature); {n} (praiseworthy example); {n} (simplified representation); {n} (structural design); {n} (style); {v} (be a model); {v} (create from a substance); {v} (display); {v} (make a miniature model); {v} (use as a model)
modem,módem {m},{n} /ˈmɔʊdəm/ (A device that encodes digital computer signals into analog/analogue telephone signals and vice versa and allows computers to communicate over a phone line)
Modena,Módena,{prop} (city)
moderate,"moderado {m}, moderada {f}; moderado {m}, moderada {f}; mediocre {m}; moderar; moderar; moderar",{adj} (having an intermediate position in politics); {adj} /ˈmɒdərət/ (not excessive); {adj} (mediocre); {v} (to act as a moderator); {v} (to become less excessive); {v} (to reduce the excessiveness)
moderately,moderadamente,{adv} (in a moderate manner)
moderator,"moderador {m}, moderadora {f}",{n} (someone who moderates)
modern,moderno {m},{adj} /ˈmɑdɚn/ (pertaining to the current time and style)
Modern Greek,griego moderno {m},{prop} (Modern Greek)
modernism,modernismo {m},"{n} (any of several styles of art, architecture, literature, philosophy, etc., that flourished in the 20th century)"
modernization,modernización {f},{n} (process of modernizing)
modernize,modernizarse; modernizar,{v} (become modern); {v} /ˈmɑdɚnaɪz/ (bring something up to date)
modern pentathlon,pentatlón moderno {m},{n}
Modern Standard Arabic,"árabe estándar moderno {m}, fusja {f}",{prop} (Modern Standard Arabic)
modest,modesto,{adj} /ˈmɑdəst/ (not bragging or boasting about oneself or one's achievements)
modicum,pizca {f},{n} (small amount)
modification,modificación {f}; modificación {f},{n} (an alteration or adjustment to something); {n} (the act or result of modifying or the condition of being modified)
modify,modificar,{v} (to make partial changes to)
Moesia,Mesia,{prop} /miːʃiə/ (an ancient region and later Roman province situated in the Balkans)
Mogadishu,Mogadiscio {m},{prop} (capital city)
Moghul,Mogol {m}; mongol {m},"{n} (head of Mongol dynasty); {n} (Mongol or Mongolian, or follower of dynasty)"
Mogilev,Maguilov {m},{prop} (city)
mogul,"potentado, magnate, mogol",{n} /ˈmoʊ.gəl/ (a rich or powerful person)
mohair,mohair {m},{n} /ˈməʊhɛː/ (fine hair of the Angora goat)
Mohammad,,{prop} (the prophet; male given name)
Mohawk,"cresta {f}, mohawk {m}, mohicano {m}, iro {m}",{n} (mohawk hairstyle)
moiety,"grupo {m}; mitad {f}; porción {f}, fracción {f}",{n}; {n} /ˈmɔɪ.ə.ti/ (half); {n} (share or portion)
moist,húmedo,{adj} /mɔɪst/ (slightly wet)
moistness,humedad {f},{n} (moistness)
moisture,humedad {f},{n} /ˈmɔɪstʃɚ/ (a moderate degree of wetness)
moisturize,"humidificar, humedecer; humidificar, humedecer",{v} (to make more humid); {v} (to make more moist)
mojibake,mojibake,{n} /ˌmoʊ.dʒi.ˈbɑ.ki/ (corrupt characters or letters)
Moksha,"moksha, moxel",{prop} (language)
molar,"molar {m} {f}; diente molar {m}, molar {m}, muela {f}",{adj} (back tooth); {n} (back tooth)
molasses,melaza {f},{n} (thick brownish syrup refined from raw sugar)
mold,"molde {m}, modelo {m}; forma {f}, patrón {m}; molde {m}; tierra blanda; forma {f}, patrón {m}, moldura {f}; copia {f}, reproducción {f}, moldura {f}; moho {m}; moldear, modelar, formar",{n} (frame or model); {n} (general shape or form); {n} (hollow form or matrix for shaping a fluid or plastic substance); {n} (loose friable soil); {n} (shape or pattern of a mould); {n} (something that is made in or shaped on a mould); {n} (woolly or furry growth of tiny fungi); {v} (To shape in or on a mold)
Moldavia,,{prop} (Moldova)
